Voos,Companhia.Aerea,Aeroporto.Origem,Cidade.Origem,Estado.Origem,Aeroporto.Destino,Cidade.Destino,Estado.Destino,LongDest,LatDest,LongOrig,LatOrig
GLO - 1003,GOL,Santos Dumont,Rio De Janeiro,RJ,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-43.1648755,-22.911143800000000
GLO - 1004,GOL,Congonhas,Sao Paulo,SP,Santos Dumont,Rio De Janeiro,RJ,-43.1648755,-22.911143800000000,-46.6565842,-23.6273246
GLO - 1009,GOL,Santos Dumont,Rio De Janeiro,RJ,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-43.1648755,-22.911143800000000
GLO - 1022,GOL,Congonhas,Sao Paulo,SP,Santos Dumont,Rio De Janeiro,RJ,-43.1648755,-22.911143800000000,-46.6565842,-23.6273246
GLO - 1038,GOL,Congonhas,Sao Paulo,SP,Santos Dumont,Rio De Janeiro,RJ,-43.1648755,-22.911143800000000,-46.6565842,-23.6273246
GLO - 1046,GOL,Congonhas,Sao Paulo,SP,Santos Dumont,Rio De Janeiro,RJ,-43.1648755,-22.911143800000000,-46.6565842,-23.6273246
GLO - 1062,GOL,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Cataratas,Foz Do Iguacu,PR,-54.4909265,-25.5938142,-46.478126,-23.434552900000000
GLO - 1063,GOL,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,-46.478126,-23.434552900000000,-43.2494233,-22.8134098
GLO - 1064,GOL,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,-43.2494233,-22.8134098,-46.478126,-23.434552900000000
GLO - 1065,GOL,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Deputado Luis Eduardo Magalhaes,Salvador,BA,-38.3312411,-12.9110977,-43.2494233,-22.8134098
GLO - 1066,GOL,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Marechal Rondon,Varzea Grande,MT,-56.117268700000000,-15.653078600000000,-43.2494233,-22.8134098
GLO - 1067,GOL,Marechal Rondon,Varzea Grande,MT,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,-43.2494233,-22.8134098,-56.117268700000000,-15.653078600000000
GLO - 1068,GOL,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Eduardo Gomes,Manaus,AM,-60.046324900000000,-3.0358474000000000,-43.2494233,-22.8134098
GLO - 1069,GOL,Eduardo Gomes,Manaus,AM,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,-43.2494233,-22.8134098,-60.046324900000000,-3.0358474000000000
GLO - 1070,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Zumbi Dos Palmares,Rio Largo,AL,-35.792882900000000,-9.5116056,-47.9172348,-15.869736900000000
GLO - 1071,GOL,Zumbi Dos Palmares,Rio Largo,AL,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-35.792882900000000,-9.5116056
GLO - 1076,GOL,Afonso Pena,Sao Jose Dos Pinhais,PR,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-49.1724811,-25.5327132
GLO - 1077,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Afonso Pena,Sao Jose Dos Pinhais,PR,-49.1724811,-25.5327132,-47.9172348,-15.869736900000000
GLO - 1078,GOL,Tancredo Neves,Confins,MG,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-43.965396000000000,-19.634099
GLO - 1079,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Afonso Pena,Sao Jose Dos Pinhais,PR,-49.1724811,-25.5327132,-47.9172348,-15.869736900000000
GLO - 1080,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Santa Genoveva,Goiania,GO,-49.2221166,-16.632488000000000,-47.9172348,-15.869736900000000
GLO - 1081,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Placido De Castro,Sena Madureira,AC,-67.894367,-9.870171000000000,-47.9172348,-15.869736900000000
GLO - 1082,GOL,Porto Seguro,Porto Seguro,BA,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-39.0821431,-16.4395303
GLO - 1083,GOL,Porto Seguro,Porto Seguro,BA,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-39.0821431,-16.4395303
GLO - 1084,GOL,Tancredo Neves,Confins,MG,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-43.965396000000000,-19.634099
GLO - 1085,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Tancredo Neves,Confins,MG,-43.965396000000000,-19.634099,-47.9172348,-15.869736900000000
GLO - 1086,GOL,Tancredo Neves,Confins,MG,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-43.965396000000000,-19.634099
GLO - 1087,GOL,Afonso Pena,Sao Jose Dos Pinhais,PR,Tancredo Neves,Confins,MG,-43.965396000000000,-19.634099,-49.1724811,-25.5327132
GLO - 1088,GOL,Afonso Pena,Sao Jose Dos Pinhais,PR,Regional De Maringa - Silvio Name Junior,Maringa,PR,-52.0164842,-23.4766098,-49.1724811,-25.5327132
GLO - 1089,GOL,Regional De Maringa - Silvio Name Junior,Maringa,PR,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,-46.478126,-23.434552900000000,-52.0164842,-23.4766098
GLO - 1090,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Eduardo Gomes,Manaus,AM,-60.046324900000000,-3.0358474000000000,-47.9172348,-15.869736900000000
GLO - 1091,GOL,Cataratas,Foz Do Iguacu,PR,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-54.4909265,-25.5938142
GLO - 1092,GOL,Tancredo Neves,Confins,MG,Deputado Luis Eduardo Magalhaes,Salvador,BA,-38.3312411,-12.9110977,-43.965396000000000,-19.634099
GLO - 1093,GOL,Governador Aluizio Alves,Natal,RN,Deputado Luis Eduardo Magalhaes,Salvador,BA,-38.3312411,-12.9110977,-35.3673819,-5.768370200000000
GLO - 1094,GOL,Tancredo Neves,Confins,MG,Deputado Luis Eduardo Magalhaes,Salvador,BA,-38.3312411,-12.9110977,-43.965396000000000,-19.634099
GLO - 1095,GOL,Deputado Luis Eduardo Magalhaes,Salvador,BA,Tancredo Neves,Confins,MG,-43.965396000000000,-19.634099,-38.3312411,-12.9110977
GLO - 1096,GOL,Deputado Luis Eduardo Magalhaes,Salvador,BA,Pinto Martins,Fortaleza,CE,-38.5330966,-3.7771555,-38.3312411,-12.9110977
GLO - 1097,GOL,Deputado Luis Eduardo Magalhaes,Salvador,BA,Tancredo Neves,Confins,MG,-43.965396000000000,-19.634099,-38.3312411,-12.9110977
GLO - 1098,GOL,Tancredo Neves,Confins,MG,Deputado Luis Eduardo Magalhaes,Salvador,BA,-38.3312411,-12.9110977,-43.965396000000000,-19.634099
GLO - 1099,GOL,Deputado Luis Eduardo Magalhaes,Salvador,BA,Tancredo Neves,Confins,MG,-43.965396000000000,-19.634099,-38.3312411,-12.9110977
GLO - 1101,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Tancredo Neves,Confins,MG,-43.965396000000000,-19.634099,-47.9172348,-15.869736900000000
GLO - 1102,GOL,Congonhas,Sao Paulo,SP,Afonso Pena,Sao Jose Dos Pinhais,PR,-49.1724811,-25.5327132,-46.6565842,-23.6273246
GLO - 1104,GOL,Guararapes - Gilberto Freyre,Recife,PE,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,-43.2494233,-22.8134098,-34.924015400000000,-8.1259315
GLO - 1106,GOL,Congonhas,Sao Paulo,SP,Afonso Pena,Sao Jose Dos Pinhais,PR,-49.1724811,-25.5327132,-46.6565842,-23.6273246
GLO - 1108,GOL,Congonhas,Sao Paulo,SP,Afonso Pena,Sao Jose Dos Pinhais,PR,-49.1724811,-25.5327132,-46.6565842,-23.6273246
GLO - 1109,GOL,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Guararapes - Gilberto Freyre,Recife,PE,-34.924015400000000,-8.1259315,-43.2494233,-22.8134098
GLO - 1110,GOL,Congonhas,Sao Paulo,SP,Regional De Maringa - Silvio Name Junior,Maringa,PR,-52.0164842,-23.4766098,-46.6565842,-23.6273246
GLO - 1111,GOL,Cataratas,Foz Do Iguacu,PR,Afonso Pena,Sao Jose Dos Pinhais,PR,-49.1724811,-25.5327132,-54.4909265,-25.5938142
GLO - 1112,GOL,Congonhas,Sao Paulo,SP,Afonso Pena,Sao Jose Dos Pinhais,PR,-49.1724811,-25.5327132,-46.6565842,-23.6273246
GLO - 1114,GOL,Congonhas,Sao Paulo,SP,Afonso Pena,Sao Jose Dos Pinhais,PR,-49.1724811,-25.5327132,-46.6565842,-23.6273246
GLO - 1115,GOL,Regional De Maringa - Silvio Name Junior,Maringa,PR,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-52.0164842,-23.4766098
GLO - 1117,GOL,Afonso Pena,Sao Jose Dos Pinhais,PR,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-49.1724811,-25.5327132
GLO - 1118,GOL,Pinto Martins,Fortaleza,CE,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-38.5330966,-3.7771555
GLO - 1119,GOL,Afonso Pena,Sao Jose Dos Pinhais,PR,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-49.1724811,-25.5327132
GLO - 1120,GOL,Guararapes - Gilberto Freyre,Recife,PE,Pinto Martins,Fortaleza,CE,-38.5330966,-3.7771555,-34.924015400000000,-8.1259315
GLO - 1122,GOL,Regional De Maringa - Silvio Name Junior,Maringa,PR,Campo Grande,Campo Grande,MS,-54.6741233,-20.4686937,-52.0164842,-23.4766098
GLO - 1123,GOL,Afonso Pena,Sao Jose Dos Pinhais,PR,Salgado Filho,Porto Alegre,RS,-51.175381100000000,-29.9934732,-49.1724811,-25.5327132
GLO - 1124,GOL,Salgado Filho,Porto Alegre,RS,Afonso Pena,Sao Jose Dos Pinhais,PR,-49.1724811,-25.5327132,-51.175381100000000,-29.9934732
GLO - 1125,GOL,Tancredo Neves,Confins,MG,Afonso Pena,Sao Jose Dos Pinhais,PR,-49.1724811,-25.5327132,-43.965396000000000,-19.634099
GLO - 1126,GOL,Salgado Filho,Porto Alegre,RS,Afonso Pena,Sao Jose Dos Pinhais,PR,-49.1724811,-25.5327132,-51.175381100000000,-29.9934732
GLO - 1127,GOL,Afonso Pena,Sao Jose Dos Pinhais,PR,Salgado Filho,Porto Alegre,RS,-51.175381100000000,-29.9934732,-49.1724811,-25.5327132
GLO - 1129,GOL,Eduardo Gomes,Manaus,AM,Governador Jorge Teixeira De Oliveira,Porto Velho,RO,-63.89832,-8.7141702,-60.046324900000000,-3.0358474000000000
GLO - 1131,GOL,Regional De Maringa - Silvio Name Junior,Maringa,PR,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-52.0164842,-23.4766098
GLO - 1133,GOL,Regional De Maringa - Silvio Name Junior,Maringa,PR,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-52.0164842,-23.4766098
GLO - 1134,GOL,Deputado Luis Eduardo Magalhaes,Salvador,BA,Zumbi Dos Palmares,Rio Largo,AL,-35.792882900000000,-9.5116056,-38.3312411,-12.9110977
GLO - 1135,GOL,Marechal Rondon,Varzea Grande,MT,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-56.117268700000000,-15.653078600000000
GLO - 1136,GOL,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Viracopos,Campinas,SP,-47.1375685,-23.008205,-43.2494233,-22.8134098
GLO - 1137,GOL,Viracopos,Campinas,SP,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,-43.2494233,-22.8134098,-47.1375685,-23.008205
GLO - 1138,GOL,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Santa Maria,Aracaju,SE,-37.07624620000000,-10.9822278,-43.2494233,-22.8134098
GLO - 1139,GOL,Santa Maria,Aracaju,SE,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,-43.2494233,-22.8134098,-37.07624620000000,-10.9822278
GLO - 1141,GOL,Governador Jose Richa,Londrina,PR,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-51.133159900000000,-23.332071400000000
GLO - 1143,GOL,Governador Jose Richa,Londrina,PR,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-51.133159900000000,-23.332071400000000
GLO - 1145,GOL,Cataratas,Foz Do Iguacu,PR,Afonso Pena,Sao Jose Dos Pinhais,PR,-49.1724811,-25.5327132,-54.4909265,-25.5938142
GLO - 1147,GOL,Guararapes - Gilberto Freyre,Recife,PE,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-34.924015400000000,-8.1259315
GLO - 1148,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,-43.2494233,-22.8134098,-47.9172348,-15.869736900000000
GLO - 1149,GOL,Guararapes - Gilberto Freyre,Recife,PE,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-34.924015400000000,-8.1259315
GLO - 1150,GOL,Deputado Luis Eduardo Magalhaes,Salvador,BA,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,-43.2494233,-22.8134098,-38.3312411,-12.9110977
GLO - 1151,GOL,Guararapes - Gilberto Freyre,Recife,PE,Fernando De Noronha,Fernando De Noronha,PE,-32.4243853,-3.8546145,-34.924015400000000,-8.1259315
GLO - 1152,GOL,Afonso Pena,Sao Jose Dos Pinhais,PR,Regional De Maringa - Silvio Name Junior,Maringa,PR,-52.0164842,-23.4766098,-49.1724811,-25.5327132
GLO - 1153,GOL,Santa Genoveva,Goiania,GO,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-49.2221166,-16.632488000000000
GLO - 1154,GOL,Tancredo Neves,Confins,MG,Eurico De Aguiar Salles,Vitoria,ES,-40.2835346,-20.257648900000000,-43.965396000000000,-19.634099
GLO - 1155,GOL,Eurico De Aguiar Salles,Vitoria,ES,Tancredo Neves,Confins,MG,-43.965396000000000,-19.634099,-40.2835346,-20.257648900000000
GLO - 1156,GOL,Tancredo Neves,Confins,MG,Eurico De Aguiar Salles,Vitoria,ES,-40.2835346,-20.257648900000000,-43.965396000000000,-19.634099
GLO - 1157,GOL,Eurico De Aguiar Salles,Vitoria,ES,Tancredo Neves,Confins,MG,-43.965396000000000,-19.634099,-40.2835346,-20.257648900000000
GLO - 1158,GOL,Fernando De Noronha,Fernando De Noronha,PE,Guararapes - Gilberto Freyre,Recife,PE,-34.924015400000000,-8.1259315,-32.4243853,-3.8546145
GLO - 1159,GOL,Eurico De Aguiar Salles,Vitoria,ES,Tancredo Neves,Confins,MG,-43.965396000000000,-19.634099,-40.2835346,-20.257648900000000
GLO - 1160,GOL,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Deputado Luis Eduardo Magalhaes,Salvador,BA,-38.3312411,-12.9110977,-46.478126,-23.434552900000000
GLO - 1161,GOL,Deputado Luis Eduardo Magalhaes,Salvador,BA,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,-46.478126,-23.434552900000000,-38.3312411,-12.9110977
GLO - 1162,GOL,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Deputado Luis Eduardo Magalhaes,Salvador,BA,-38.3312411,-12.9110977,-46.478126,-23.434552900000000
GLO - 1164,GOL,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Deputado Luis Eduardo Magalhaes,Salvador,BA,-38.3312411,-12.9110977,-46.478126,-23.434552900000000
GLO - 1165,GOL,Tancredo Neves,Confins,MG,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-43.965396000000000,-19.634099
GLO - 1166,GOL,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Deputado Luis Eduardo Magalhaes,Salvador,BA,-38.3312411,-12.9110977,-46.478126,-23.434552900000000
GLO - 1168,GOL,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Deputado Luis Eduardo Magalhaes,Salvador,BA,-38.3312411,-12.9110977,-46.478126,-23.434552900000000
GLO - 1169,GOL,Deputado Luis Eduardo Magalhaes,Salvador,BA,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,-46.478126,-23.434552900000000,-38.3312411,-12.9110977
GLO - 1170,GOL,Deputado Luis Eduardo Magalhaes,Salvador,BA,Presidente Joao Suassuna,Campina Grande,PB,-35.8940206,-7.2688784,-38.3312411,-12.9110977
GLO - 1172,GOL,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Deputado Luis Eduardo Magalhaes,Salvador,BA,-38.3312411,-12.9110977,-46.478126,-23.434552900000000
GLO - 1173,GOL,Deputado Luis Eduardo Magalhaes,Salvador,BA,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,-46.478126,-23.434552900000000,-38.3312411,-12.9110977
GLO - 1174,GOL,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Cataratas,Foz Do Iguacu,PR,-54.4909265,-25.5938142,-43.2494233,-22.8134098
GLO - 1175,GOL,Afonso Pena,Sao Jose Dos Pinhais,PR,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-49.1724811,-25.5327132
GLO - 1176,GOL,Congonhas,Sao Paulo,SP,Guararapes - Gilberto Freyre,Recife,PE,-34.924015400000000,-8.1259315,-46.6565842,-23.6273246
GLO - 1177,GOL,Tancredo Neves,Confins,MG,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,-43.2494233,-22.8134098,-43.965396000000000,-19.634099
GLO - 1179,GOL,Guararapes - Gilberto Freyre,Recife,PE,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-34.924015400000000,-8.1259315
GLO - 1180,GOL,Congonhas,Sao Paulo,SP,Tenente-Coronel Aviador Cesar Bombonato,Uberlandia,MG,-48.2308653,-18.888969,-46.6565842,-23.6273246
